Frequence_de_visite,Montant_moyen_mensuel,Duree_moyenne_visite,Paiement_prefere,Produit_majoritaire,Carte_fidelite,Achats_en_ligne,Moment_courses
7,335.2385648624505,31.940451217713473,Mobile,Bricolage,Oui,Non,Soir
9,302.4750649043925,35.49794701304014,Especes,Alimentation,Oui,Non,Weekend
8,332.3494854038319,40.45327523327628,Carte,Textile,Oui,Non,Apres-midi
1,50.0,10.0,Carte,Textile,Non,Non,Weekend
12,443.9597958427709,41.651894127630534,Carte,Multimédia,Oui,Oui,Matin
8,361.6429280238886,42.098983971665845,Carte,Multimédia,Oui,Oui,Apres-midi
8,341.10538364136215,23.36347364543794,Mobile,Multimédia,Oui,Non,Matin
11,426.89337167484143,53.25767590845631,Carte,Textile,Oui,Non,Weekend
3,84.80893674956052,21.386229240141482,Especes,Hygiène,Non,Oui,Matin
1,50.0,10.0,Carte,Bricolage,Non,Non,Weekend
8,335.5139999948882,20.798897749303087,Carte,Hygiène,Oui,Non,Matin
3,135.28414998388254,18.090737876410238,Carte,Hygiène,Non,Oui,Weekend
3,144.09836320729408,25.02191777350666,Carte,Textile,Non,Oui,Soir
1,50.0,10.0,Carte,Hygiène,Non,Non,Matin
11,471.9373194799747,35.577380387571054,Mobile,Alimentation,Oui,Non,Matin
5,227.26220395223837,15.636182124202683,Carte,Multimédia,Non,Oui,Soir
10,381.5865987899834,53.82960796482689,Especes,Alimentation,Oui,Non,Soir
7,315.5543652391079,34.72622682145137,Carte,Bricolage,Oui,Non,Matin
10,438.7322783723831,34.94484744484937,Carte,Multimédia,Oui,Non,Soir
9,427.895605357987,52.473272889057824,Carte,Hygiène,Oui,Oui,Apres-midi
12,605.0354134637845,48.147059595725956,Carte,Bricolage,Oui,Oui,Weekend
7,323.39201028222914,19.541752211155313,Carte,Multimédia,Oui,Non,Weekend
9,339.83923039891283,41.109199407738195,Carte,Hygiène,Oui,Non,Weekend
8,342.85538376502956,25.43084031928045,Carte,Alimentation,Oui,Non,Apres-midi
12,564.2892450176781,49.43599484688392,Carte,Multimédia,Oui,Oui,Soir
2,50.0,15.988852208329991,Carte,Hygiène,Non,Non,Soir
1,75.51925725639758,10.0,Carte,Alimentation,Non,Oui,Matin
7,219.36768342682308,23.668680319906503,Mobile,Bricolage,Oui,Oui,Soir
7,269.555853476411,34.597705461007806,Especes,Bricolage,Oui,Oui,Matin
8,311.9351311969693,28.22848942727623,Carte,Bricolage,Oui,Oui,Apres-midi
5,121.52358241189391,26.23172544484071,Carte,Bricolage,Non,Non,Weekend
3,75.87326854084138,13.406636869561959,Mobile,Textile,Non,Non,Weekend
12,482.84811519805515,48.69595962727143,Especes,Multimédia,Oui,Oui,Weekend
8,393.5028953395061,22.289332542675837,Carte,Multimédia,Oui,Non,Soir
6,183.6459962443107,24.5143168799473,Especes,Textile,Non,Oui,Matin
11,507.8831693141318,35.71739686365482,Carte,Hygiène,Oui,Non,Matin
3,115.53409441896116,11.676967990179826,Carte,Hygiène,Non,Non,Apres-midi
1,50.0,10.0,Especes,Bricolage,Non,Oui,Soir
3,128.71813440221618,10.0,Carte,Alimentation,Non,Non,Apres-midi
5,258.3736206320556,30.35407385028484,Mobile,Hygiène,Non,Oui,Matin
3,151.05933881853565,14.936240226113547,Especes,Alimentation,Non,Oui,Matin
1,62.048733116543545,10.0,Carte,Multimédia,Non,Oui,Weekend
5,209.81816753961104,26.00528122120435,Carte,Alimentation,Non,Non,Soir
10,388.45357393491616,38.57869681726235,Carte,Multimédia,Oui,Non,Matin
7,253.7877734535628,35.876493800491474,Carte,Textile,Oui,Oui,Weekend
7,280.7408588658283,25.848615860754,Especes,Textile,Oui,Non,Soir
11,504.0218554522384,55.30225253627417,Carte,Bricolage,Oui,Non,Apres-midi
9,427.3982533542346,35.664258465998245,Carte,Hygiène,Oui,Non,Soir
10,311.48713599850475,40.63391609628671,Especes,Bricolage,Oui,Non,Soir
10,435.6449573154789,38.457313442111676,Carte,Multimédia,Oui,Non,Matin
12,525.19380022247,47.12925523529777,Especes,Bricolage,Oui,Oui,Matin
3,159.62752388206738,10.0,Carte,Alimentation,Non,Oui,Soir
7,242.156915911165,20.196294600585993,Mobile,Multimédia,Oui,Non,Matin
1,108.70722096937891,10.0,Carte,Textile,Non,Oui,Matin
4,168.22438285690384,17.382594074953243,Carte,Hygiène,Non,Non,Matin
4,77.86007279833456,15.670476787843876,Carte,Multimédia,Non,Non,Weekend
5,201.36597528407447,23.584357932986016,Carte,Multimédia,Non,Oui,Weekend
7,346.66177500699564,30.239343370451564,Especes,Alimentation,Oui,Oui,Soir
7,350.0116071825924,18.561634776902956,Especes,Hygiène,Oui,Oui,Matin
11,419.88478814043515,42.25704380004904,Especes,Textile,Oui,Non,Weekend
4,164.5117423365122,28.530055930954898,Carte,Multimédia,Non,Non,Soir
7,245.0352292358008,40.11192278842799,Carte,Multimédia,Oui,Oui,Matin
11,605.3639501909403,47.99716575976952,Carte,Alimentation,Oui,Oui,Apres-midi
3,63.23583013100922,10.0,Carte,Bricolage,Non,Oui,Matin
6,202.61668558555428,24.542714546608842,Especes,Textile,Non,Non,Matin
12,518.7608931126691,50.2091722946806,Carte,Hygiène,Oui,Oui,Weekend
2,83.00786277172355,10.0,Carte,Multimédia,Non,Non,Soir
10,407.34673594671017,36.62780874597194,Carte,Multimédia,Oui,Oui,Soir
9,432.3821645601106,44.243145038307816,Especes,Textile,Oui,Oui,Weekend
5,161.15800091281324,15.160634571976875,Especes,Bricolage,Non,Non,Matin
6,243.66378775934544,19.277664625878536,Especes,Multimédia,Non,Non,Apres-midi
12,480.0614904020614,58.58182110326278,Carte,Textile,Oui,Non,Matin
12,457.75278225867214,48.869596177444244,Carte,Alimentation,Oui,Non,Matin
12,381.0124579840415,46.031671448982195,Especes,Bricolage,Oui,Oui,Apres-midi
12,486.2512743965274,48.45561410599755,Especes,Hygiène,Oui,Non,Weekend
4,204.6501197949479,14.702075118362316,Carte,Multimédia,Non,Oui,Soir
11,454.466295396914,49.88319974627027,Especes,Textile,Oui,Oui,Weekend
10,379.8047414783348,36.88256552158697,Especes,Alimentation,Oui,Non,Weekend
7,260.90844875637504,24.56193291026767,Especes,Hygiène,Oui,Non,Matin
12,475.250255019093,55.02541186302821,Especes,Textile,Oui,Non,Soir
9,386.0824741151039,38.59347476754735,Carte,Textile,Oui,Non,Soir
7,290.25280896826104,37.90628520653422,Carte,Hygiène,Oui,Non,Weekend
1,50.0,10.0,Carte,Alimentation,Non,Oui,Apres-midi
1,50.0,10.0,Especes,Alimentation,Non,Oui,Weekend
9,350.94715316038986,27.981666586565204,Especes,Bricolage,Oui,Non,Apres-midi
11,480.03325787498926,31.120279281869742,Especes,Multimédia,Oui,Oui,Soir
9,375.6089099687909,39.008078837687194,Carte,Hygiène,Oui,Non,Weekend
4,174.68829363490514,11.641106109114155,Especes,Hygiène,Non,Non,Matin
9,375.68250332808697,37.707157786764725,Especes,Hygiène,Oui,Oui,Weekend
3,121.4836380832702,10.0,Especes,Alimentation,Non,Non,Soir
7,325.06501379955535,24.530594002281944,Especes,Multimédia,Oui,Non,Matin
6,296.6056616281343,22.092728008277884,Especes,Bricolage,Non,Oui,Matin
8,281.0545604566854,33.20925280005456,Carte,Textile,Oui,Non,Apres-midi
11,302.45259114990733,49.37706955076372,Carte,Textile,Oui,Non,Matin
9,345.8339632509804,44.56161981558536,Carte,Hygiène,Oui,Oui,Matin
5,170.69823349123138,11.818307643700358,Carte,Multimédia,Non,Non,Weekend
1,50.41927396920959,10.0,Especes,Alimentation,Non,Non,Soir
3,85.24958453287844,16.48658040730288,Especes,Multimédia,Non,Oui,Apres-midi
10,311.7546996589778,35.627612127588755,Carte,Multimédia,Oui,Non,Weekend
12,431.18184474812426,28.673953723500475,Carte,Alimentation,Oui,Oui,Matin
8,278.43877921145605,34.96199801266128,Especes,Hygiène,Oui,Non,Matin
11,514.0093175581865,51.24479026966738,Carte,Multimédia,Oui,Non,Apres-midi
6,241.04706328962342,22.469858841854776,Carte,Textile,Non,Oui,Soir
8,354.81030084878336,32.92648974460192,Carte,Alimentation,Oui,Oui,Apres-midi
9,384.40543184704256,32.330968415270085,Carte,Bricolage,Oui,Non,Weekend
4,222.33645571354526,10.0,Carte,Hygiène,Non,Non,Apres-midi
1,50.0,12.24970309941416,Carte,Alimentation,Non,Non,Matin
1,50.0,10.0,Carte,Bricolage,Non,Oui,Weekend
10,351.59490804986285,46.70910076112391,Especes,Bricolage,Oui,Non,Matin
4,131.49504679650073,10.0,Carte,Multimédia,Non,Non,Soir
12,459.07386568084314,59.32521350085702,Especes,Multimédia,Oui,Non,Matin
7,172.83073769594915,29.91162226651756,Carte,Multimédia,Oui,Oui,Matin
2,59.18803523993663,11.640398354811854,Carte,Alimentation,Non,Non,Apres-midi
3,118.54288424347007,12.425523593673768,Especes,Alimentation,Non,Non,Matin
1,50.0,10.0,Carte,Hygiène,Non,Oui,Weekend
5,186.83768747385716,21.531523386642164,Carte,Multimédia,Non,Non,Weekend
1,50.0,10.0,Carte,Bricolage,Non,Oui,Soir
8,272.4490388991567,25.87707975766764,Especes,Textile,Oui,Non,Weekend
1,70.3938274998472,10.0,Carte,Hygiène,Non,Non,Apres-midi
11,420.1088494955288,29.370033416184967,Carte,Alimentation,Oui,Oui,Soir
1,60.549110869492175,10.0,Especes,Hygiène,Non,Non,Weekend
2,91.82748548298355,10.0,Carte,Hygiène,Non,Non,Apres-midi
2,75.24589396104949,10.0,Especes,Hygiène,Non,Oui,Weekend
12,550.6115195988979,40.91233873975746,Especes,Hygiène,Oui,Non,Weekend
6,285.2795577909954,17.869289452284484,Mobile,Textile,Non,Non,Matin
7,238.08000857642068,26.992741408549687,Carte,Multimédia,Oui,Non,Weekend
5,122.76468567306965,16.51271525703441,Especes,Bricolage,Non,Oui,Weekend
1,50.0,10.0,Carte,Hygiène,Non,Non,Apres-midi
1,50.0,10.0,Carte,Hygiène,Non,Non,Apres-midi
3,90.5087834610714,10.0,Carte,Hygiène,Non,Oui,Matin
2,91.46099938833117,10.0,Especes,Multimédia,Non,Non,Weekend
5,164.5041870104542,10.0,Carte,Alimentation,Non,Non,Matin
12,445.9279649949899,48.603288486861814,Carte,Alimentation,Oui,Non,Weekend
10,334.9921510322417,34.39791142352563,Carte,Textile,Oui,Non,Soir
6,235.89411741140765,23.72976756771141,Especes,Alimentation,Non,Non,Soir
7,287.1227969593739,27.52297724066112,Especes,Hygiène,Oui,Non,Matin
4,115.52393766260309,21.63860514861554,Especes,Hygiène,Non,Oui,Matin
7,242.00327846140593,23.62494032175392,Carte,Hygiène,Oui,Non,Matin
11,339.4858086306693,45.62870127470027,Carte,Textile,Oui,Non,Apres-midi
8,310.8444534411262,30.17644937075135,Especes,Hygiène,Oui,Non,Apres-midi
11,480.3613891419945,40.07507867431303,Carte,Alimentation,Oui,Non,Apres-midi
1,55.637268181473715,10.0,Carte,Multimédia,Non,Non,Matin
6,221.8529618521162,27.027516000004567,Especes,Multimédia,Non,Non,Weekend
8,354.07531562675047,29.90175094472107,Mobile,Bricolage,Oui,Non,Soir
5,223.34285869614337,20.35322603795763,Especes,Alimentation,Non,Non,Matin
4,152.60468635100662,10.0,Especes,Hygiène,Non,Non,Apres-midi
2,94.36383797993292,10.0,Mobile,Multimédia,Non,Oui,Apres-midi
6,282.2479095654845,19.07564990667212,Carte,Alimentation,Non,Oui,Matin
6,227.80853168476486,19.704329394881654,Carte,Multimédia,Non,Non,Matin
11,424.868515326664,44.859847430192005,Mobile,Hygiène,Oui,Oui,Apres-midi
1,50.0,10.0,Carte,Multimédia,Non,Oui,Weekend
9,426.3758799723893,34.19392077888545,Especes,Bricolage,Oui,Oui,Apres-midi
12,425.01331828187284,57.34774952978398,Carte,Bricolage,Oui,Oui,Apres-midi
11,517.2210179010884,54.362247859774754,Carte,Multimédia,Oui,Oui,Matin
6,238.0853321542028,25.918514483631032,Especes,Alimentation,Non,Non,Weekend
3,136.93521579182746,21.006391917931367,Mobile,Alimentation,Non,Oui,Apres-midi
4,181.36227798391639,25.121318688829263,Especes,Alimentation,Non,Non,Apres-midi
12,505.0926432631422,49.00810020461176,Carte,Multimédia,Oui,Non,Soir
11,560.0937370392569,34.5289473854814,Especes,Alimentation,Oui,Non,Matin
4,186.4927948233674,21.468374872771484,Carte,Hygiène,Non,Oui,Soir
3,112.75042520958115,10.0,Carte,Bricolage,Non,Non,Soir
10,473.2205272286857,57.959509163183604,Carte,Hygiène,Oui,Non,Apres-midi
3,127.07928841530484,17.110042559290363,Carte,Alimentation,Non,Non,Matin
3,100.8252614141938,24.104889883926795,Carte,Hygiène,Non,Non,Weekend
4,207.4331466074335,19.645806285355423,Mobile,Alimentation,Non,Non,Apres-midi
7,241.56713223642663,25.840190698442584,Especes,Multimédia,Oui,Oui,Weekend
4,172.0480838613223,16.746624009279042,Especes,Hygiène,Non,Non,Weekend
9,314.47710454993626,40.85411650123176,Carte,Multimédia,Oui,Non,Matin
1,50.0,10.0,Mobile,Multimédia,Non,Non,Soir
8,336.65523476885073,42.49021845747198,Mobile,Textile,Oui,Non,Matin
7,251.45382807514267,32.36391804079693,Especes,Alimentation,Oui,Oui,Weekend
2,50.0,10.0,Carte,Bricolage,Non,Non,Apres-midi
8,315.9423481510314,43.44990882850337,Carte,Alimentation,Oui,Oui,Weekend
1,50.0,10.0,Carte,Bricolage,Non,Oui,Apres-midi
11,462.2512638663113,24.86479868754459,Carte,Alimentation,Oui,Oui,Apres-midi
12,480.23306818290166,48.84588344372214,Carte,Multimédia,Oui,Oui,Matin
9,476.02059026172486,42.34751113732776,Mobile,Hygiène,Oui,Non,Weekend
9,406.9696595413905,29.46883387192608,Carte,Hygiène,Oui,Oui,Soir
2,108.51625655924771,10.0,Carte,Textile,Non,Oui,Weekend
7,332.58460395356434,28.164707966067837,Carte,Bricolage,Oui,Non,Weekend
10,402.2571857065152,29.050084350876464,Carte,Bricolage,Oui,Non,Soir
3,102.61209201920607,10.725262289261282,Carte,Bricolage,Non,Non,Matin
7,303.6449345485032,38.48521732249894,Carte,Multimédia,Oui,Non,Weekend
12,489.19039203262565,44.88602991731486,Carte,Bricolage,Oui,Non,Weekend
10,424.4735544331523,37.71038146948866,Especes,Hygiène,Oui,Oui,Apres-midi
9,416.0544328231248,37.432189003172496,Mobile,Multimédia,Oui,Oui,Weekend
4,211.84050296291267,13.886332768534544,Carte,Alimentation,Non,Non,Soir
12,522.0066179060004,49.02449437397049,Carte,Bricolage,Oui,Oui,Apres-midi
1,50.0,10.0,Especes,Bricolage,Non,Non,Matin
2,50.0,10.0,Carte,Alimentation,Non,Oui,Apres-midi
1,50.0,10.0,Carte,Bricolage,Non,Oui,Soir
12,462.82588403876656,49.745255743419285,Especes,Alimentation,Oui,Non,Soir
5,161.80592365878184,14.080365446962208,Carte,Multimédia,Non,Non,Apres-midi
5,236.42034374126166,13.415342978225507,Especes,Hygiène,Non,Non,Matin
11,458.80220231018615,54.08292453653059,Carte,Alimentation,Oui,Non,Apres-midi
7,264.7022295300525,30.937633375598477,Carte,Textile,Oui,Oui,Matin
9,410.9610967530085,41.856537228947204,Carte,Alimentation,Oui,Oui,Apres-midi
9,398.96069195646766,37.387040526567134,Especes,Bricolage,Oui,Non,Soir
3,110.46066757534221,18.986471724083167,Carte,Multimédia,Non,Non,Weekend
